66.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DATA_ACCESS,INFO;DB,INFO;NBA,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
17:48:06.0 (437303)|USER_INFO|[EXTERNAL]|0051N000008bAK9|contingenciafalabella@falabella.com.mx|(GMT-06:00) Central Standard Time (America/Mexico_City)|GMT-06:00
17:48:06.0 (557229)|EXECUTION_STARTED
17:48:06.0 (579543)|CODE_UNIT_STARTED|[EXTERNAL]|apex://ExpedientesFalabella/ACTION$getDocumentBlobStorage
17:48:06.0 (3362851)|CODE_UNIT_STARTED|[EXTERNAL]|01p3l000005r3c4|ExpedientesFalabella.getDocumentBlobStorage(String, String, String)
17:48:06.0 (3705942)|HEAP_ALLOCATE|[95]|Bytes:3
17:48:06.0 (3831794)|HEAP_ALLOCATE|[100]|Bytes:152
17:48:06.0 (3849031)|HEAP_ALLOCATE|[417]|Bytes:408
17:48:06.0 (3865522)|HEAP_ALLOCATE|[430]|Bytes:408
17:48:06.0 (3892941)|HEAP_ALLOCATE|[317]|Bytes:6
17:48:06.0 (3906024)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:20
17:48:06.0 (3910059)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:11
17:48:06.0 (3940278)|METHOD_ENTRY|[12]|01p3l000005r3c4|ExpedientesFalabella.ExpedientesFalabella()
17:48:06.0 (3971306)|STATEMENT_EXECUTE|[12]
17:48:06.0 (3987716)|STATEMENT_EXECUTE|[12]
17:48:06.0 (3994314)|METHOD_EXIT|[12]|ExpedientesFalabella
17:48:06.0 (3999181)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:9
17:48:06.0 (4001729)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:22
17:48:06.0 (4004809)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:11
17:48:06.0 (4034274)|VARIABLE_SCOPE_BEGIN|[91]|idSolicitud|String|false|false
17:48:06.0 (4105801)|VARIABLE_ASSIGNMENT|[91]|idSolicitud|"309495430"
17:48:06.0 (4125507)|VARIABLE_SCOPE_BEGIN|[91]|link|String|false|false
17:48:06.0 (4134651)|VARIABLE_ASSIGNMENT|[91]|link|"-ComprobanteDomicili (2 more) ..."
17:48:06.0 (4137833)|VARIABLE_SCOPE_BEGIN|[91]|microServicio|String|false|false
17:48:06.0 (4144146)|VARIABLE_ASSIGNMENT|[91]|microServicio|"BlobStorage"
17:48:06.0 (4155394)|STATEMENT_EXECUTE|[91]
17:48:06.0 (4157183)|STATEMENT_EXECUTE|[93]
17:48:06.0 (7103526)|VARIABLE_SCOPE_BEGIN|[18]|MicroServicioModalImagenesBO.ENDPOINTBLOBSTORAGE|String|false|true
17:48:06.0 (7123882)|VARIABLE_SCOPE_BEGIN|[19]|MicroServicioModalImagenesBO.ENDPOINTWISTONDATA|String|false|true
17:48:06.0 (7129420)|VARIABLE_SCOPE_BEGIN|[20]|MicroServicioModalImagenesBO.MICROSBLOBSTORAGE|String|false|true
17:48:06.0 (7134774)|VARIABLE_SCOPE_BEGIN|[21]|MicroServicioModalImagenesBO.MICROSWISTONDATA|String|false|true
17:48:06.0 (7139880)|VARIABLE_SCOPE_BEGIN|[17]|MicroServicioModalImagenesBO.POST|String|false|true
17:48:06.0 (7161757)|HEAP_ALLOCATE|[93]|Bytes:20
17:48:06.0 (7176827)|HEAP_ALLOCATE|[93]|Bytes:48
17:48:06.0 (7180249)|HEAP_ALLOCATE|[93]|Bytes:24
17:48:06.0 (7263911)|VARIABLE_ASSIGNMENT|[93]|MicroServicioModalImagenesBO.ENDPOINTBLOBSTORAGE|"onboarding/file/down (4 more) ..."
17:48:06.0 (7272496)|HEAP_ALLOCATE|[93]|Bytes:25
17:48:06.0 (7280716)|VARIABLE_ASSIGNMENT|[93]|MicroServicioModalImagenesBO.ENDPOINTWISTONDATA|"integracion/file/dow (5 more) ..."
17:48:06.0 (7284047)|HEAP_ALLOCATE|[93]|Bytes:27
17:48:06.0 (7289454)|VARIABLE_ASSIGNMENT|[93]|MicroServicioModalImagenesBO.MICROSBLOBSTORAGE|"MicroServicioImgBlob (7 more) ..."
17:48:06.0 (7292356)|HEAP_ALLOCATE|[93]|Bytes:26
17:48:06.0 (7298117)|VARIABLE_ASSIGNMENT|[93]|MicroServicioModalImagenesBO.MICROSWISTONDATA|"MicroServicioImgWist (6 more) ..."
17:48:06.0 (7301164)|HEAP_ALLOCATE|[93]|Bytes:4
17:48:06.0 (7306274)|VARIABLE_ASSIGNMENT|[93]|MicroServicioModalImagenesBO.POST|"POST"
17:48:06.0 (7356644)|METHOD_ENTRY|[14]|01p3l000005qhVh|MicroServicioModalImagenesBO.MicroServicioModalImagenesBO()
17:48:06.0 (7375831)|STATEMENT_EXECUTE|[14]
17:48:06.0 (7389531)|STATEMENT_EXECUTE|[14]
17:48:06.0 (7398746)|METHOD_EXIT|[14]|MicroServicioModalImagenesBO
17:48:06.0 (7453048)|METHOD_ENTRY|[93]|01p3l000005qhVh|MicroServicioModalImagenesBO.descargarImagen(String, String, String)
17:48:06.0 (7499896)|VARIABLE_SCOPE_BEGIN|[106]|idSolicitud|String|false|false
17:48:06.0 (7510560)|VARIABLE_ASSIGNMENT|[106]|idSolicitud|"309495430"
17:48:06.0 (7513831)|VARIABLE_SCOPE_BEGIN|[106]|link|String|false|false
17:48:06.0 (7520874)|VARIABLE_ASSIGNMENT|[106]|link|"-ComprobanteDomicili (2 more) ..."
17:48:06.0 (7523583)|VARIABLE_SCOPE_BEGIN|[106]|microServicio|String|false|false
17:48:06.0 (7529656)|VARIABLE_ASSIGNMENT|[106]|microServicio|"BlobStorage"
17:48:06.0 (7537515)|STATEMENT_EXECUTE|[106]
17:48:06.0 (7539704)|STATEMENT_EXECUTE|[108]
17:48:06.0 (7561554)|HEAP_ALLOCATE|[108]|Bytes:4
17:48:06.0 (7579216)|VARIABLE_SCOPE_BEGIN|[108]|result|Map<String,ANY>|true|false
17:48:06.0 (7631724)|VARIABLE_ASSIGNMENT|[108]|result|{}|0x7d9b3cfb
17:48:06.0 (7638217)|STATEMENT_EXECUTE|[109]
17:48:06.0 (7661524)|HEAP_ALLOCATE|[68]|Bytes:5
17:48:06.0 (7691063)|HEAP_ALLOCATE|[74]|Bytes:5
17:48:06.0 (7700538)|HEAP_ALLOCATE|[82]|Bytes:7
17:48:06.0 (7716894)|VARIABLE_SCOPE_BEGIN|[109]|success|Boolean|false|false
17:48:06.0 (7925834)|HEAP_ALLOCATE|[109]|Bytes:5
17:48:06.0 (7936916)|VARIABLE_ASSIGNMENT|[109]|success|false
