66.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DATA_ACCESS,INFO;DB,INFO;NBA,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
11:21:10.0 (199718)|USER_INFO|[EXTERNAL]|0051N000005gvau|etrevinofalabella@izeicg.com.uat|(GMT-06:00) Central Standard Time (America/Mexico_City)|GMT-06:00
11:21:10.0 (234626)|EXECUTION_STARTED
11:21:10.0 (243353)|CODE_UNIT_STARTED|[EXTERNAL]|apex://MicroServicioSaldoEnPuntos/ACTION$obtenerSaldoEnPuntos
11:21:10.0 (1683306)|CODE_UNIT_STARTED|[EXTERNAL]|01p0v000003StIK|MicroServicioSaldoEnPuntos.obtenerSaldoEnPuntos(String)
11:21:10.0 (1829218)|VARIABLE_SCOPE_BEGIN|[3]|MicroServicioSaldoEnPuntos.POST|String|false|true
11:21:10.0 (1864405)|VARIABLE_SCOPE_BEGIN|[4]|MicroServicioSaldoEnPuntos.SALDO|String|false|true
11:21:10.0 (1986532)|HEAP_ALLOCATE|[95]|Bytes:3
11:21:10.0 (2034717)|HEAP_ALLOCATE|[100]|Bytes:152
11:21:10.0 (2050292)|HEAP_ALLOCATE|[417]|Bytes:408
11:21:10.0 (2061588)|HEAP_ALLOCATE|[430]|Bytes:408
11:21:10.0 (2081587)|HEAP_ALLOCATE|[317]|Bytes:6
11:21:10.0 (2092385)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:7
11:21:10.0 (2095590)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:17
11:21:10.0 (2104107)|METHOD_ENTRY|[1]|01p0v000003StIK|MicroServicioSaldoEnPuntos.MicroServicioSaldoEnPuntos()
11:21:10.0 (2110392)|STATEMENT_EXECUTE|[1]
11:21:10.0 (2116302)|STATEMENT_EXECUTE|[1]
11:21:10.0 (2117490)|STATEMENT_EXECUTE|[3]
11:21:10.0 (2119319)|HEAP_ALLOCATE|[3]|Bytes:4
