52.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DATA_ACCESS,INFO;DB,INFO;NBA,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
18:09:01.0 (406548)|USER_INFO|[EXTERNAL]|0051N000008bAK9|contingenciafalabella@falabella.com.mx|(GMT-06:00) Central Standard Time (America/Mexico_City)|GMT-06:00
18:09:01.0 (478440)|EXECUTION_STARTED
18:09:01.0 (500697)|CODE_UNIT_STARTED|[EXTERNAL]|01p3l00000EBsec|BatchUpdateCaseGestorBO
18:09:01.0 (862565)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:99
18:09:01.0 (911861)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:12
18:09:01.0 (936339)|METHOD_ENTRY|[11]|01p3l00000EBsec|BatchUpdateCaseGestorBO.BatchUpdateCaseGestorBO()
18:09:01.0 (944939)|STATEMENT_EXECUTE|[11]
18:09:01.0 (957124)|STATEMENT_EXECUTE|[11]
18:09:01.0 (966202)|METHOD_EXIT|[11]|BatchUpdateCaseGestorBO
18:09:01.0 (971709)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:20
18:09:01.0 (975206)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:12
18:09:01.0 (1044633)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:16
18:09:01.0 (1054007)|VARIABLE_SCOPE_BEGIN|[42]|this|BatchUpdateCaseGestorBO|true|false
18:09:01.0 (1140204)|VARIABLE_ASSIGNMENT|[42]|this|{"idQueueFraudesCredito":"00G3l000004HYBREA4","intCallMSAttempts":3,"lstRecordTypesBO":"0x1ed7a214","lstRequestsWithError":"0x41c3fe95"}|0x2d9c5519
18:09:01.0 (1147166)|VARIABLE_SCOPE_BEGIN|[42]|BC|Database.BatchableContext|true|false
18:09:01.0 (1258685)|VARIABLE_ASSIGNMENT|[42]|BC|{"childJobId":"707RQ00001vVe50YAC","jobId":"707RQ00001vVcw4YAC"}|0x7ff53781
18:09:01.0 (1262615)|VARIABLE_SCOPE_BEGIN|[42]|scope|List<Case>|true|false
18:09:01.0 (1361265)|VARIABLE_ASSIGNMENT|[42]|scope|[{"Solicitud_Repetida__c":false,"Id":"500Qg00000Pq7BvIAJ","Total_a_Condonar__c":0.0,"ID_Solicitud__c":"300009231"},{"Solicitud_Repetida__c":false,"Id":"500Qg00000PqF6HIAV","Total_a_Condonar__c":0.0,"ID_Solicitud__c":"300009230"},{"Solicitud_Repetida__c":false,"Id":"500Qg00000QIQwPIAX","Total_a_Condonar__c":1.0,"ID_Solicitud__c":"306394479"}]|0x432b774b
18:09:01.0 (1388019)|STATEMENT_EXECUTE|[42]
18:09:01.0 (1389589)|STATEMENT_EXECUTE|[44]
18:09:01.0 (1398673)|HEAP_ALLOCATE|[44]|Bytes:4
18:09:01.0 (1471001)|VARIABLE_SCOPE_BEGIN|[44]|lstIdSolicitud|List<String>|true|false
18:09:01.0 (1496936)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
18:09:01.0 (1501593)|VARIABLE_ASSIGNMENT|[44]|lstIdSolicitud|[]|0x60cfaa38
18:09:01.0 (1504697)|STATEMENT_EXECUTE|[46]
18:09:01.0 (2417060)|HEAP_ALLOCATE|[46]|Bytes:4
18:09:01.0 (2450999)|VARIABLE_SCOPE_BEGIN|[46]|mapResponseGestor|Map<String,SolicitudGestorJSON>|true|false
18:09:01.0 (2469159)|VARIABLE_ASSIGNMENT|[46]|mapResponseGestor|{}|0x715d79a2
18:09:01.0 (2474535)|STATEMENT_EXECUTE|[47]
18:09:01.0 (2482421)|HEAP_ALLOCATE|[47]|Bytes:4
18:09:01.0 (2488000)|VARIABLE_SCOPE_BEGIN|[47]|mapSolicitudRepetida|Map<String,Boolean>|true|false
18:09:01.0 (2495999)|VARIABLE_ASSIGNMENT|[47]|mapSolicitudRepetida|{}|0x6954c9ed
18:09:01.0 (2499712)|STATEMENT_EXECUTE|[49]
18:09:01.0 (2636641)|HEAP_ALLOCATE|[49]|Bytes:4
18:09:01.0 (2689430)|VARIABLE_SCOPE_BEGIN|[49]|lstErrorLog|List<Error_Log__c>|true|false
18:09:01.0 (2696269)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
18:09:01.0 (2703074)|VARIABLE_ASSIGNMENT|[49]|lstErrorLog|[]|0x74572095
18:09:01.0 (3073032)|HEAP_ALLOCATE|[68]|Bytes:5
18:09:01.0 (3103062)|HEAP_ALLOCATE|[74]|Bytes:5
18:09:01.0 (3111678)|HEAP_ALLOCATE|[82]|Bytes:7
18:09:01.0 (3129884)|HEAP_ALLOCATE|[51]|Bytes:5
18:09:01.0 (3162527)|HEAP_ALLOCATE|[51]|Bytes:20
18:09:01.0 (3170721)|VARIABLE_SCOPE_BEGIN|[51]|caso|Case|true|false
18:09:01.0 (3232625)|VARIABLE_ASSIGNMENT|[51]|caso|{"Solicitud_Repetida__c":false,"Id":"500Qg00000Pq7BvIAJ","Total_a_Condonar__c":0.0,"ID_Solicitud__c":"300009231"}|0x299820fc
18:09:01.0 (3239571)|STATEMENT_EXECUTE|[51]
18:09:01.0 (3241160)|STATEMENT_EXECUTE|[53]
18:09:01.0 (4088572)|HEAP_ALLOCATE|[53]|Bytes:12
18:09:01.0 (4094415)|HEAP_ALLOCATE|[53]|Bytes:17
18:09:01.0 (4114538)|METHOD_ENTRY|[13]|01p3l00000EBdkA|ActualizarRestanteTicketRiesgoGestor.ActualizarRestanteTicketRiesgoGestor()
18:09:01.0 (4120944)|STATEMENT_EXECUTE|[13]
18:09:01.0 (4125259)|STATEMENT_EXECUTE|[13]
18:09:01.0 (4130539)|METHOD_EXIT|[13]|ActualizarRestanteTicketRiesgoGestor
18:09:01.0 (4135190)|HEAP_ALLOCATE|[53]|Bytes:8
18:09:01.0 (4150740)|CONSTRUCTOR_ENTRY|[53]|01p3l00000EBdkA|<init>()|ActualizarRestanteTicketRiesgoGestor
18:09:01.0 (4176377)|VARIABLE_SCOPE_BEGIN|[17]|this|ActualizarRestanteTicketRiesgoGestor|true|false
18:09:01.0 (4207945)|VARIABLE_ASSIGNMENT|[17]|this|{}|0x2b0e05c8
18:09:01.0 (4214034)|STATEMENT_EXECUTE|[13]
18:09:01.0 (4215519)|STATEMENT_EXECUTE|[15]
18:09:01.0 (5209697)|STATEMENT_EXECUTE|[17]
18:09:01.0 (5212914)|STATEMENT_EXECUTE|[19]
18:09:01.0 (5289571)|HEAP_ALLOCATE|[19]|Bytes:51
18:09:01.0 (5308369)|HEAP_ALLOCATE|[19]|Bytes:51
18:09:01.0 (5313388)|HEAP_ALLOCATE|[19]|Bytes:1
18:09:01.0 (5328685)|HEAP_ALLOCATE|[19]|Bytes:36
18:09:01.0 (5332855)|VARIABLE_SCOPE_BEGIN|[19]|currentClassName|String|false|false
18:09:01.0 (5345473)|VARIABLE_ASSIGNMENT|[19]|currentClassName|"ActualizarRestanteTi (16 more) ..."
18:09:01.0 (5348275)|STATEMENT_EXECUTE|[20]
18:09:01.0 (6757837)|HEAP_ALLOCATE|[20]|Bytes:48
18:09:01.0 (6769404)|HEAP_ALLOCATE|[20]|Bytes:63
18:09:01.0 (6790550)|METHOD_ENTRY|[1]|01p3l00000EBdkF|ClienteMicroServiciosGestor.ClienteMicroServiciosGestor()
18:09:01.0 (6798483)|STATEMENT_EXECUTE|[1]
18:09:01.0 (6803488)|STATEMENT_EXECUTE|[1]
18:09:01.0 (6809912)|METHOD_EXIT|[1]|ClienteMicroServiciosGestor
18:09:01.0 (6816228)|HEAP_ALLOCATE|[20]|Bytes:104
18:09:01.0 (6866548)|CONSTRUCTOR_ENTRY|[20]|01p3l00000EBdkF|<init>()|ClienteMicroServiciosGestor
18:09:01.0 (6887093)|VARIABLE_SCOPE_BEGIN|[37]|this|ClienteMicroServiciosGestor|true|false
18:09:01.0 (6918420)|VARIABLE_ASSIGNMENT|[37]|this|{}|0x49dc1a59
18:09:01.0 (6922539)|STATEMENT_EXECUTE|[1]
18:09:01.0 (6923544)|STATEMENT_EXECUTE|[2]
18:09:01.0 (6925754)|HEAP_ALLOCATE|[2]|Bytes:33
18:09:01.0 (6936613)|VARIABLE_ASSIGNMENT|[2]|this.BASE_URL|"https://cmr-mx-solic (13 more) ..."|0x49dc1a59
18:09:01.0 (6939653)|STATEMENT_EXECUTE|[3]
18:09:01.0 (6940739)|HEAP_ALLOCATE|[3]|Bytes:10
18:09:01.0 (6944550)|VARIABLE_ASSIGNMENT|[3]|this.URI|".fif.tech/"|0x49dc1a59
18:09:01.0 (6946919)|STATEMENT_EXECUTE|[6]
18:09:01.0 (6947934)|HEAP_ALLOCATE|[6]|Bytes:16
18:09:01.0 (6951189)|VARIABLE_ASSIGNMENT|[6]|this.APP_JSON|"application/json"|0x49dc1a59
18:09:01.0 (6953474)|STATEMENT_EXECUTE|[7]
18:09:01.0 (6954552)|HEAP_ALLOCATE|[7]|Bytes:12
18:09:01.0 (6958099)|VARIABLE_ASSIGNMENT|[7]|this.CONT_TYPE|"Content-Type"|0x49dc1a59
18:09:01.0 (6960434)|STATEMENT_EXECUTE|[8]
18:09:01.0 (6963029)|HEAP_ALLOCATE|[8]|Bytes:4
18:09:01.0 (6967843)|VARIABLE_ASSIGNMENT|[8]|this.TIME_OUT|120000|0x49dc1a59
18:09:01.0 (6970049)|STATEMENT_EXECUTE|[9]
18:09:01.0 (6971047)|HEAP_ALLOCATE|[9]|Bytes:11
18:09:01.0 (6974332)|VARIABLE_ASSIGNMENT|[9]|this.endpoint|"solicitudes"|0x49dc1a59
18:09:01.0 (6976593)|STATEMENT_EXECUTE|[10]
18:09:01.0 (6977784)|HEAP_ALLOCATE|[10]|Bytes:3
18:09:01.0 (6981154)|VARIABLE_ASSIGNMENT|[10]|this.method|"GET"|0x49dc1a59
18:09:01.0 (6983521)|STATEMENT_EXECUTE|[11]
18:09:01.0 (6984568)|HEAP_ALLOCATE|[11]|Bytes:2
18:09:01.0 (6987847)|VARIABLE_ASSIGNMENT|[11]|this.version|"v1"|0x49dc1a59
18:09:01.0 (6990216)|STATEMENT_EXECUTE|[12]
18:09:01.0 (6991197)|HEAP_ALLOCATE|[12]|Bytes:9
